DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D4095002,2001,E.Hess+,0.186,0.0272,1,5,5,5,1.049e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.201,0.0293,1,5,5,5,1.049e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2075,0.0338,1,5,5,5,1.074e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.186,0.0272,1,5,5,5,1.077e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2018,0.0329,1,5,5,5,1.094e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1937,0.0315,1,5,5,5,1.121e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1656,0.0264,1,5,5,5,1.133e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1791,0.0292,1,5,5,5,1.155e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1226,0.0146,1,5,5,5,1.226e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1341,0.0218,1,5,5,5,1.269e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.118,0.0146,1,5,5,5,1.326e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.136,0.0199,1,5,5,5,1.337e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1202,0.0196,1,5,5,5,1.384e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0942,0.0112,1,5,5,5,1.406e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1417,0.0207,1,5,5,5,1.412e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1298,0.0211,1,5,5,5,1.427e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0721,0.0086,1,5,5,5,1.45e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0981,0.0016,1,5,5,5,1.533e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0595,0.0071,1,5,5,5,1.601e+7,5.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0745,0.0088,1,5,5,5,1.622e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.061,0.0089,1,5,5,5,1.693e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0446,0.0065,1,5,5,5,1.73e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0549,0.008,1,5,5,5,1.742e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0437,0.0052,1,5,5,5,1.772e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0666,0.0097,1,5,5,5,1.795e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0503,0.006,1,5,5,5,1.801e+7,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0625,0.0091,1,5,5,5,1.818e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0379,0.0055,1,5,5,5,1.82e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
