DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (PER-CENT) 0.911,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
T00160021,1991,M.L.Firouzbakht+,0.007,10,1.108e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.007,10,1.128e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.016,10,1.159e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.016,10,1.211e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.006,10,1.314e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.006,10,1.416e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.006,10,1.518e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.011,10,1.631e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.021,10,1.732e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.024,10,1.834e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.005,10,1.935e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.013,10,2.037e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.021,10,2.138e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.024,10,2.24e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.025,10,2.341e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.026,10,2.442e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.027,10,2.543e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.025,10,2.644e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.026,10,2.745e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.025,10,2.847e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.028,10,2.948e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.032,10,3.05e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.036,10,3.151e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.039,10,3.253e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.041,10,3.355e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
