DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C0627003,1980,J.L.Zyskind+,0.1046,,3.763e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.1092,,3.814e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.1057,,3.864e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.122,,3.914e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.139,,3.964e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.12,,4.015e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.128,,4.065e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.144,,4.116e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.136,,4.166e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.152,,4.216e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.157,,4.266e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.153,,4.316e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.168,,4.367e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.174,,4.417e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.169,,4.467e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
