DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D0680003,1980,S.R.Kennett+,0.0428,0.00311,3,8,2,2.66e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0643,,3,8,2,2.69e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0663,0.00426,3,8,2,2.72e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0636,0.00408,3,8,2,2.75e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0774,,3,8,2,2.78e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.085,,3,8,2,2.81e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0923,,3,8,2,2.84e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0858,,3,8,2,2.87e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0676,,3,8,2,2.9e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.109,,3,8,2,2.93e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.116,,3,8,2,2.96e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.144,,3,8,2,2.99e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.165,,3,8,2,3.02e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.153,,3,8,2,3.05e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.126,,3,8,2,3.08e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.161,,3,8,2,3.11e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.129,,3,8,2,3.14e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.151,,3,8,2,3.17e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.162,,3,8,2,3.21e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.18,,3,8,2,3.23e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.229,,3,8,2,3.26e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
